# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.0969e-05 to 218.908 h/Mpc,
# number of wavenumbers equal to 595
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_m                    8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_ncdm[0]             21:t_tot              
       3.163508088822e-05      -1.296698352807e-04      -9.725571622733e-05      -9.725574493675e-05      -1.296693011385e-04      -9.983004790019e-05      -9.760211789106e-05      -9.807156076839e-05       6.111596011997e-01       5.974434108734e-01       1.945114898735e-04       2.639776670657e-07       9.999966268893e-01      -2.201828060825e-09       7.304952294165e-09      -3.731578993562e-12      -1.020979682344e-11      -9.166627508598e-15      -1.088008581032e-11      -2.022345235456e-12      -3.625541950323e-13 
       3.312599631796e-05      -1.421796436328e-04      -1.066387480010e-04      -1.066387825173e-04      -1.421790014554e-04      -1.094613162853e-04      -1.070185699414e-04      -1.075332923592e-04       6.111593542511e-01       5.974432379948e-01       2.132775650345e-04       2.894456647061e-07       9.999963014600e-01      -2.414250562019e-09       8.009686652736e-09      -4.091584551440e-12      -1.227484532710e-11      -1.102069902352e-14      -1.308070320053e-11      -2.431390254994e-12      -4.358849310782e-13 
       3.468717642716e-05      -1.558962742461e-04      -1.169270330999e-04      -1.169270745978e-04      -1.558955021820e-04      -1.200217610756e-04      -1.173434996916e-04      -1.179078677898e-04       6.111590852481e-01       5.974430500223e-01       2.338541491955e-04       3.173707493008e-07       9.999959446362e-01      -2.647165948972e-09       8.782405643927e-09      -4.486320670237e-12      -1.475756996679e-11      -1.324980248341e-14      -1.572641644143e-11      -2.923169469812e-12      -5.240475342263e-13 
       3.632193268816e-05      -1.709361382852e-04      -1.282079075326e-04      -1.282079574238e-04      -1.709352100644e-04      -1.316010210005e-04      -1.286645541634e-04      -1.292833549196e-04       6.111587899867e-01       5.974428436108e-01       2.564159148477e-04       3.479899732257e-07       9.999955533862e-01      -2.902551021837e-09       9.629666847320e-09      -4.919137670341e-12      -1.774244897162e-11      -1.592975434437e-14      -1.890724739330e-11      -3.514416484753e-12      -6.300418362902e-13 
       3.803373263815e-05      -1.874268767554e-04      -1.405771352773e-04      -1.405771952597e-04      -1.874257607951e-04      -1.442973839012e-04      -1.410778385925e-04      -1.417563201100e-04       6.111584759279e-01       5.974426263625e-01       2.811543905194e-04       3.815632500709e-07       9.999951243891e-01      -3.182575164381e-09       1.055866056995e-08      -5.393709019530e-12      -2.133104768418e-11      -1.915195668702e-14      -2.273142749261e-11      -4.225249152158e-12      -7.574744767048e-13 
       3.982620723435e-05      -2.055084324924e-04      -1.541397134034e-04      -1.541397855181e-04      -2.055070908211e-04      -1.582186127573e-04      -1.546887238051e-04      -1.554326400635e-04       6.111581208516e-01       5.974423781668e-01       3.082795710361e-04       4.183755912261e-07       9.999946540045e-01      -3.489611626865e-09       1.157726959626e-08      -5.914062485563e-12      -2.564546865662e-11      -2.302569954958e-14      -2.732907566209e-11      -5.079855945782e-12      -9.106813591000e-13 
       4.170315855567e-05      -2.253342514587e-04      -1.690107744056e-04      -1.690108611066e-04      -2.253326384265e-04      -1.734828714203e-04      -1.696127524952e-04      -1.704284116862e-04       6.111577311600e-01       5.974421059286e-01       3.380217222132e-04       4.587394817131e-07       9.999941382374e-01      -3.826267352323e-09       1.269413762124e-08      -6.484614354435e-12      -3.083251435972e-11      -2.768297316913e-14      -3.285662803223e-11      -6.107315622633e-12      -1.094875490913e-12 
       4.366856786754e-05      -2.470725715276e-04      -1.853165544240e-04      -1.853166586610e-04      -2.470706322474e-04      -1.902197178692e-04      -1.859766101356e-04      -1.868709283775e-04       6.111572965202e-01       5.974418003737e-01       3.706333173220e-04       5.029975680444e-07       9.999935727180e-01      -4.195399352797e-09       1.391874142939e-08      -7.110206687897e-12      -3.706867381964e-11      -3.328154820655e-14      -3.950216443804e-11      -7.342591730038e-12      -1.316324084356e-12 
       4.572660406660e-05      -2.709078600178e-04      -2.031954733581e-04      -2.031955986798e-04      -2.709055285053e-04      -2.085712122232e-04      -2.039192108341e-04      -2.048997691479e-04       6.111568285204e-01       5.974414726283e-01       4.063911973596e-04       5.515255328998e-07       9.999929526375e-01      -4.600142754016e-09       1.526147253154e-08      -7.796148444298e-12      -4.456613843097e-11      -4.001397167500e-14      -4.749179458398e-11      -8.827712310949e-12      -1.582562278716e-12 
       4.788163252356e-05      -2.970423654301e-04      -2.227993010397e-04      -2.227994517090e-04      -2.970395623602e-04      -2.286931129079e-04      -2.235928636417e-04      -2.246679744933e-04       6.111563149266e-01       5.974411140756e-01       4.455989034181e-04       6.047353181745e-07       9.999922727317e-01      -5.043928582539e-09       1.673372221535e-08      -8.548261303882e-12      -5.358000596713e-11      -4.810726378471e-14      -5.709735943775e-11      -1.061321177667e-11      -1.902648439675e-12 
       5.013822434270e-05      -3.256978366306e-04      -2.442944494454e-04      -2.442946305897e-04      -3.256944666339e-04      -2.507562020652e-04      -2.451645738864e-04      -2.463433493679e-04       6.111557523727e-01       5.974407210466e-01       4.885892611794e-04       6.630786058369e-07       9.999915272303e-01      -5.530525996911e-09       1.834798188765e-08      -9.372927302285e-12      -6.441697269783e-11      -5.783764770191e-14      -6.864567984727e-11      -1.275984355414e-11      -2.287473551934e-12 
