# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:t_g                   14:t_b                   15:t_ur                  16:t_tot              
       1.308579408449e-04      -2.519849718002e-03      -1.891142569895e-03      -1.891153139956e-03      -2.519656291693e-03      -1.909094141251e-03       6.121307048117e-01       5.968046543275e-01       3.782306279913e-03       5.084562078273e-06       9.999326066504e-01      -4.596899918920e-08      -3.797038130914e-09      -3.346485100732e-12      -4.037425780814e-09      -1.473787029956e-10 
       1.370250855978e-04      -2.762770968419e-03      -2.073587360369e-03      -2.073600068154e-03      -2.762538436346e-03      -2.093266401432e-03       6.121257295778e-01       5.968013394673e-01       4.147200136309e-03       5.575075562438e-06       9.999261059219e-01      -5.040148132224e-08      -4.564827115575e-09      -4.023244309516e-12      -4.853792652493e-09      -1.771792974607e-10 
       1.434828789286e-04      -3.029090543329e-03      -2.273632222776e-03      -2.273647501006e-03      -3.028811000615e-03      -2.295204494248e-03       6.121202653896e-01       5.967977031703e-01       4.547295002011e-03       6.112905661162e-06       9.999189782127e-01      -5.526106265300e-08      -5.487840227064e-09      -4.837041873100e-12      -5.835196467825e-09      -2.130045917440e-10 
       1.502450186827e-04      -3.321058136188e-03      -2.492974806920e-03      -2.492993175345e-03      -3.320722082114e-03      -2.516621878931e-03       6.121142770893e-01       5.967937159917e-01       4.985986350690e-03       6.702615914649e-06       9.999111631637e-01      -6.058888223364e-08      -6.597455800748e-09      -5.815370383550e-12      -7.014993749071e-09      -2.560723537728e-10 
       1.573258482650e-04      -3.641138916806e-03      -2.733476464966e-03      -2.733498548584e-03      -3.640734931448e-03      -2.759397205967e-03       6.121077111489e-01       5.967893438728e-01       5.466997097168e-03       7.349209873025e-06       9.999025944552e-01      -6.642997607582e-08      -7.931387053384e-09      -6.991539104357e-12      -8.433276915809e-09      -3.078462686257e-10 
       1.647403870647e-04      -3.992034023835e-03      -2.997178046531e-03      -2.997204596855e-03      -3.991548379987e-03      -3.025590247994e-03       6.121005123414e-01       5.967845509232e-01       5.994409193710e-03       8.058173428639e-06       9.998931994859e-01      -7.283372448375e-08      -9.534965780941e-09      -8.405622357826e-12      -1.013823685816e-08      -3.700856993461e-10 
       1.725043623124e-04      -4.376702924595e-03      -3.286317180302e-03      -3.286349100630e-03      -4.376119124738e-03      -3.317459328761e-03       6.120926203245e-01       5.967792962469e-01       6.572698201260e-03       8.835521345135e-06       9.998828986027e-01      -7.985421855999e-08      -1.146268331788e-08      -1.010566467449e-11      -1.218779655947e-08      -4.449053991095e-10 
       1.806342424406e-04      -4.798387892525e-03      -3.603347237877e-03      -3.603385614647e-03      -4.797686101503e-03      -3.637480448099e-03       6.120839659097e-01       5.967735335872e-01       7.206771229294e-03       9.687848189521e-06       9.998716045457e-01      -8.755076023015e-08      -1.378003066432e-08      -1.214965103394e-11      -1.465157933453e-08      -5.348471657068e-10 
       1.891472720151e-04      -5.260640769891e-03      -3.950958153346e-03      -3.951004291703e-03      -5.259797152581e-03      -3.988368273462e-03       6.120744807740e-01       5.967672168999e-01       7.902008583407e-03       1.062238404659e-05       9.998592215629e-01      -9.598829491925e-08      -1.656573374802e-08      -1.460674541984e-11      -1.761326225393e-08      -6.429661301329e-10 
       1.980615083129e-04      -5.767352120644e-03      -4.332099155875e-03      -4.332154626367e-03      -5.766338033216e-03      -4.373099063150e-03       6.120640768259e-01       5.967602896139e-01       8.664309252733e-03       1.164705592647e-05       9.998456448707e-01      -1.052379974055e-07      -1.991440333914e-08      -1.756107187917e-11      -2.117340454191e-08      -7.729339944313e-10 
       2.073958596245e-04      -6.322783170413e-03      -4.750003800106e-03      -4.750070490825e-03      -6.321564181527e-03      -4.794935896391e-03       6.120526702320e-01       5.967526945080e-01       9.500140981649e-03       1.277055464935e-05       9.998307593410e-01      -1.153778505622e-07      -2.393975524456e-08      -2.111306452669e-11      -2.545287734138e-08      -9.291638825789e-10 
       2.171701253604e-04      -6.931600599276e-03      -5.208217342726e-03      -5.208297520908e-03      -6.930135336114e-03      -5.257456267259e-03       6.120401691307e-01       5.967443680100e-01       1.041659504182e-02       1.400240840433e-05       9.998144389936e-01      -1.264933402575e-07      -2.877846824463e-08      -2.538260445578e-11      -3.059693775092e-08      -1.116959608383e-09 
       2.274050380486e-04      -7.598914489216e-03      -5.710626705315e-03      -5.710723100528e-03      -7.597153222513e-03      -5.764582290032e-03       6.120264586042e-01       5.967352375878e-01       1.142144620106e-02       1.535306348458e-05       9.997965456056e-01      -1.386779321070e-07      -3.459477148451e-08      -3.051625852540e-11      -3.678013528337e-08      -1.342694655484e-09 
       2.381223073113e-04      -8.330319790776e-03      -6.261493462764e-03      -6.261609354264e-03      -8.328202774477e-03      -6.320613930120e-03       6.120114278194e-01       5.967252272416e-01       1.252321870853e-02       1.683397229876e-05       9.997769278165e-01      -1.520342146325e-07      -4.158606124608e-08      -3.668791580237e-11      -4.421222712068e-08      -1.614028652158e-09 
       2.493446659134e-04      -9.131941386167e-03      -6.865489820217e-03      -6.865629151526e-03      -9.129396808780e-03      -6.930265258070e-03       6.119949500608e-01       5.967142522155e-01       1.373125830305e-02       1.845769041956e-05       9.997554195102e-01      -1.666744092161e-07      -4.998952831607e-08      -4.410771916451e-11      -5.314528205834e-08      -1.940165951680e-09 
       2.610959179822e-04      -1.001048328443e-02      -7.527738193657e-03      -7.527905704720e-03      -1.000742487213e-02      -7.598704314858e-03       6.119768866927e-01       5.967022198712e-01       1.505581140944e-02       2.023798243492e-05       9.997318387984e-01      -1.827214789282e-07      -6.009020680078e-08      -5.302791247641e-11      -6.388215377160e-08      -2.332166536506e-09 
       2.734009894987e-04      -1.097328208829e-02      -8.253854484889e-03      -8.254055875075e-03      -1.096960618752e-02      -8.331596696905e-03       6.119570797964e-01       5.966890261022e-01       1.650811175015e-02       2.218993829315e-05       9.997059864590e-01      -2.003099516190e-07      -7.223057064093e-08      -6.375193459180e-11      -7.678671063021e-08      -2.803318988613e-09 
       2.862859811694e-04      -1.202836516817e-02      -9.049995578687e-03      -9.050237699836e-03      -1.202394722645e-02      -9.135153375477e-03       6.119353683177e-01       5.966745615369e-01       1.810047539967e-02       2.433010050294e-05       9.996776436727e-01      -2.195872529979e-07      -8.682213391810e-08      -7.664441732719e-11      -9.229616584243e-08      -3.369590635712e-09 
