# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:t_g                   14:t_b                   15:t_ur                  16:t_tot              
       2.610959179822e-05      -1.003854155399e-04      -7.529105122360e-05      -7.529106789747e-05      -1.003850993851e-04      -7.600732997036e-05       6.121918132607e-01       5.968432382532e-01       1.505821357949e-04       2.024331329171e-07       9.999973003942e-01      -1.831944331234e-09      -6.019590927863e-12      -5.295298761774e-15      -6.412112906273e-12      -2.338198403449e-13 
       2.734009894987e-05      -1.100701169399e-04      -8.255497969210e-05      -8.255499973766e-05      -1.100697368416e-04      -8.334035660428e-05       6.121916016163e-01       5.968430914531e-01       1.651099994753e-04       2.219634653177e-07       9.999970399447e-01      -2.008681640861e-09      -7.237128363638e-12      -6.365960480687e-15      -7.709038740132e-12      -2.811127024110e-13 
       2.862859811694e-05      -1.206891222215e-04      -9.051971746312e-05      -9.051974156323e-05      -1.206886652441e-04      -9.138085758664e-05       6.121913829212e-01       5.968429457093e-01       1.810394831265e-04       2.433780313062e-07       9.999967543664e-01      -2.202470505873e-09      -8.700923730560e-12      -7.653586645493e-15      -9.268281223888e-12      -3.379710611797e-13 
       2.997782237893e-05      -1.323325569742e-04      -9.925287519396e-05      -9.925290416866e-05      -1.323320075685e-04      -1.001970863003e-04       6.121911431755e-01       5.968427858263e-01       1.985058083373e-04       2.668586220182e-07       9.999964412364e-01      -2.414955058439e-09      -1.046078722188e-11      -9.201631793876e-15      -1.114289595096e-11      -4.063296062534e-13 
       3.139063362138e-05      -1.450992415232e-04      -1.088285879208e-04      -1.088286227561e-04      -1.450985809952e-04      -1.098638824729e-04       6.121908802407e-01       5.968426107094e-01       2.176572455122e-04       2.926045610140e-07       9.999960978961e-01      -2.647938547302e-09      -1.257660087882e-11      -1.106280210650e-14      -1.339666913928e-11      -4.885143398528e-13 
       3.287002860635e-05      -1.590975272900e-04      -1.193281430056e-04      -1.193281848867e-04      -1.590967331641e-04      -1.204633060747e-04       6.121905924324e-01       5.968424187368e-01       2.386563697734e-04       3.208344014410e-07       9.999957214329e-01      -2.903398861058e-09      -1.512035856147e-11      -1.330037164096e-14      -1.610628888115e-11      -5.873217164157e-13 
       3.441914532896e-05      -1.744462154802e-04      -1.308406699605e-04      -1.308407203127e-04      -1.744452607349e-04      -1.320853336805e-04       6.121902765425e-01       5.968422081459e-01       2.616814406254e-04       3.517877818792e-07       9.999953086498e-01      -3.183503419983e-09      -1.817861437442e-11      -1.599055140859e-14      -1.936395233359e-11      -7.061137659959e-13 
       3.604126967346e-05      -1.912755648076e-04      -1.434638972163e-04      -1.434639577529e-04      -1.912744169578e-04      -1.448286224048e-04       6.121899299485e-01       5.968419770892e-01       2.869279155057e-04       3.857274596909e-07       9.999948560424e-01      -3.490629904708e-09      -2.185542929808e-11      -1.922487251313e-14      -2.328050362895e-11      -8.489325057289e-13 
       3.773984238309e-05      -2.097283958336e-04      -1.573049815444e-04      -1.573050543256e-04      -2.097270158228e-04      -1.588013471777e-04       6.121895494653e-01       5.968417233477e-01       3.146101086512e-04       4.229415418606e-07       9.999943597689e-01      -3.827384110450e-09      -2.627590994599e-11      -2.311342231168e-14      -2.798920580551e-11      -1.020637452232e-12 
       3.951846635827e-05      -2.299613027318e-04      -1.724814182917e-04      -1.724815057935e-04      -2.299596436045e-04      -1.741221195919e-04       6.121891340649e-01       5.968414464354e-01       3.449630115870e-04       4.637459279583e-07       9.999938156194e-01      -4.196625797951e-09      -3.159046736051e-11      -2.778829442516e-14      -3.365027573217e-11      -1.227070977431e-12 
