# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2
# for k=1.03944e-05 to 328.769 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       2.610952451876e-05      -3.474856317729e-03      -2.609412362484e-03      -2.609412722508e-03      -3.474751021727e-03      -2.609453160540e-03      -2.610174553410e-03       5.917517797400e-01       5.912110033518e-01       5.218825445016e-03       1.136139408985e-06       9.999913391807e-01      -3.920960639122e-10       1.237323217732e-09      -1.104103981803e-13      -1.443286937158e-09      -1.191584161728e-13      -1.483003358889e-09      -1.731477559077e-12 
       2.734002849963e-05      -3.809640610846e-03      -2.861161783329e-03      -2.861162216158e-03      -3.809514028413e-03      -2.861206547633e-03      -2.861997130723e-03       5.917512192008e-01       5.912105384579e-01       5.722324432315e-03       1.245751026732e-06       9.999905037623e-01      -4.298906682190e-10       1.356499179040e-09      -1.210505356209e-13      -1.735060582541e-09      -1.432536168577e-13      -1.782804197666e-09      -2.081511668231e-12 
       2.862852434649e-05      -4.176630585195e-03      -3.137199129943e-03      -3.137199650294e-03      -4.176478414669e-03      -3.137248248720e-03      -3.138114615339e-03       5.917506038292e-01       5.912100279216e-01       6.274399300587e-03       1.365937563194e-06       9.999895877786e-01      -4.713200520422e-10       1.487132879915e-09      -1.327147742397e-13      -2.085801399383e-09      -1.722185734916e-13      -2.143193828125e-09      -2.502287033151e-12 
       2.997774513178e-05      -4.578914463708e-03      -3.439867582038e-03      -3.439868207607e-03      -4.578731534514e-03      -3.439921482595e-03      -3.440870845090e-03       5.917499294307e-01       5.912094684513e-01       6.879736415214e-03       1.497719220859e-06       9.999885834623e-01      -5.167367725996e-10       1.630321612015e-09      -1.455014267174e-13      -2.507420948752e-09      -2.070387944511e-13      -2.576411218980e-09      -3.008093822764e-12 
       3.139055273368e-05      -5.019874579128e-03      -3.771736357850e-03      -3.771737109909e-03      -5.019654676236e-03      -3.771795510176e-03      -3.772835756703e-03       5.917491893819e-01       5.912088543939e-01       7.543474219818e-03       1.642214627361e-06       9.999874822992e-01      -5.665251750310e-10       1.787266910185e-09      -1.595181890015e-13      -3.014235219580e-09      -2.488975471172e-13      -3.097165754336e-09      -3.616106538260e-12 
       3.286994390653e-05      -5.503215021249e-03      -4.135622551912e-03      -4.135623456024e-03      -5.502950675529e-03      -4.135687472714e-03      -4.136827228772e-03       5.917483799349e-01       5.912081830543e-01       8.271246912048e-03       1.800650308797e-06       9.999862749589e-01      -6.210988271522e-10       1.959284285526e-09      -1.748830276788e-13      -3.623449439426e-09      -2.992153686398e-13      -3.723135357872e-09      -4.346965534441e-12 
       3.441905663736e-05      -6.032991631826e-03      -4.534614950358e-03      -4.534616037278e-03      -6.032673862981e-03      -4.534686209495e-03      -4.535934902641e-03       5.917474866334e-01       5.912074411873e-01       9.069232074556e-03       1.974371157695e-06       9.999849512008e-01      -6.809302161672e-10       2.147813689694e-09      -1.917251507241e-13      -4.355739945412e-09      -3.597070946302e-13      -4.475564568157e-09      -5.225476584713e-12 
       3.604117680196e-05      -6.613645089703e-03      -4.972100442896e-03      -4.972101749568e-03      -6.613263107950e-03      -4.972178666538e-03      -4.973546600321e-03       5.917465118935e-01       5.912066324349e-01       9.944203499136e-03       2.164851721093e-06       9.999834998124e-01      -7.465110582224e-10       2.354431353730e-09      -2.101860528519e-13      -5.235954737642e-09      -4.324223149596e-13      -5.379983566819e-09      -6.281448195760e-12 
       3.773974513469e-05      -7.250036393251e-03      -5.451792536590e-03      -5.451794107433e-03      -7.249577229808e-03      -5.451878414758e-03      -5.453376844622e-03       5.917454430766e-01       5.912057455748e-01       1.090358821487e-02       2.373708858432e-06       9.999819084964e-01      -8.183957870330e-10       2.580862019894e-09      -2.304206762659e-13      -6.293952355661e-09      -5.198322973202e-13      -6.467070857191e-09      -7.550701114672e-12 
       3.951836452669e-05      -7.947486013893e-03      -5.977763022489e-03      -5.977764910878e-03      -7.946934085985e-03      -5.977857314630e-03      -5.979498532515e-03       5.917442730132e-01       5.912047749231e-01       1.195552982176e-02       2.602715365589e-06       9.999801637734e-01      -8.971850503084e-10       2.828992880913e-09      -2.525986534732e-13      -7.565612390177e-09      -6.248998346400e-13      -7.773689976552e-09      -9.076277707475e-12 
       4.138080766818e-05      -8.711816116939e-03      -6.554476386021e-03      -6.554478656168e-03      -8.711152688958e-03      -6.554579931496e-03      -6.556377352700e-03       5.917429845583e-01       5.912037051389e-01       1.310895731234e-02       2.853815108308e-06       9.999782508654e-01      -9.835498671207e-10       3.100887846764e-09      -2.769057132165e-13      -9.094042180567e-09      -7.512063103543e-13      -9.344133889246e-09      -1.090989607560e-11 
       4.333102505076e-05      -9.549396985944e-03      -7.186827962691e-03      -7.186830691706e-03      -9.548599558012e-03      -7.186941684361e-03      -7.188909948714e-03       5.917415766869e-01       5.912025368624e-01       1.437366138341e-02       3.129139345019e-06       9.999761535731e-01      -1.078203938605e-09       3.398804814126e-09      -3.035450895717e-13      -1.093104197971e-08      -9.030205425812e-13      -1.123161958182e-08      -1.311369435838e-11 
       4.537315334696e-05      -1.046719674916e-02      -7.880185170247e-03      -7.880188450881e-03      -1.046623826547e-02      -7.880310087752e-03      -7.882465159078e-03       5.917400342001e-01       5.912012570617e-01       1.576037690176e-02       3.431025003936e-06       9.999738541554e-01      -1.181941478246e-09       3.725211516376e-09      -3.327392592931e-13      -1.313883416038e-08      -1.085502414373e-12      -1.350008172415e-08      -1.576232289022e-11 
       4.751152418469e-05      -1.147283578270e-02      -8.640433127348e-03      -8.640437071092e-03      -1.147168374138e-02      -8.640570368567e-03      -8.642929643967e-03       5.917383382333e-01       5.911998490702e-01       1.728087414218e-02       3.762034462752e-06       9.999713331359e-01      -1.295631322015e-09       4.082805620066e-09      -3.647316055049e-13      -1.579217502748e-08      -1.304864323835e-12      -1.622632525791e-08      -1.894546733208e-11 
       4.975067333520e-05      -1.257464595309e-02      -9.474024809372e-03      -9.474029550154e-03      -1.257326131235e-02      -9.474175616077e-03      -9.476758049450e-03       5.917364809004e-01       5.911983072730e-01       1.894805910031e-02       4.124977147412e-06       9.999685691947e-01      -1.420218564363e-09       4.474535344391e-09      -3.997883359898e-13      -1.898086911046e-08      -1.568510687276e-12      -1.950261055016e-08      -2.277085513626e-11 
       5.209535033404e-05      -1.378173399336e-02      -1.038803545216e-02      -1.038804115097e-02      -1.378006984043e-02      -1.038820119751e-02      -1.039102741982e-02       5.917344406669e-01       5.911966128458e-01       2.077608230193e-02       4.522933583912e-06       9.999655389637e-01      -1.556740480056e-09       4.903620291616e-09      -4.382006432191e-13      -2.281277461314e-08      -1.885380359602e-12      -2.343975269086e-08      -2.736788125085e-11 
