# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5.4
# for k=1.03944e-05 to 328.77 h/Mpc,
# number of wavenumbers equal to 605
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:t_g                   14:t_b                   15:t_ur                  16:t_tot              
       5.981361927751e-05      -8.628062580695e-03      -6.491061618697e-03      -6.491063223769e-03      -8.627729591853e-03      -6.495073415762e-03       6.000573644311e-01       5.988994132825e-01       1.298212644754e-02       4.151662903260e-06       9.999616058985e-01      -3.020712363663e-09      -1.287189789402e-08      -1.921129853656e-12      -1.314566560999e-08      -3.277178470804e-11 
       6.263254830773e-05      -9.457636249616e-03      -7.117286714523e-03      -7.117288644047e-03      -9.457236033630e-03      -7.121680375497e-03       6.000548022766e-01       5.988973551862e-01       1.423457728809e-02       4.552190654820e-06       9.999579037003e-01      -3.311432231753e-09      -1.547210484897e-08      -2.309285849959e-12      -1.580114078460e-08      -3.939187435238e-11 
       6.558432937020e-05      -1.036667100502e-02      -7.803924668204e-03      -7.803926987740e-03      -1.036619000482e-02      -7.808735987352e-03       6.000519932817e-01       5.988950986088e-01       1.560785397548e-02       4.991357125028e-06       9.999538447231e-01      -3.630057359210e-09      -1.859718761687e-08      -2.775799304444e-12      -1.899263503432e-08      -4.734827760507e-11 
       6.867522358831e-05      -1.136271718957e-02      -8.556803150252e-03      -8.556805938592e-03      -1.136213911896e-02      -8.562071163966e-03       6.000489135320e-01       5.988926242411e-01       1.711361187718e-02       5.472889407045e-06       9.999493946220e-01      -3.979249462778e-09      -2.235297649069e-08      -3.336451739863e-12      -2.282821972053e-08      -5.691042558207e-11 
       7.191178716309e-05      -1.245403025643e-02      -9.382311908723e-03      -9.382315260576e-03      -1.245333554904e-02      -9.388079165802e-03       6.000455374331e-01       5.988899120190e-01       1.876463052115e-02       6.000874029367e-06       9.999445157680e-01      -4.361922700322e-09      -2.686658209701e-08      -4.010411316160e-12      -2.743771539419e-08      -6.840197877472e-11 
       7.530088527984e-05      -1.364963408379e-02      -1.028745694746e-02      -1.028746097671e-02      -1.364879923693e-02      -1.029376979693e-02       6.000418360002e-01       5.988869379454e-01       2.057492195342e-02       6.579791619298e-06       9.999391669153e-01      -4.781266003846e-09      -3.229072235750e-08      -4.820279183750e-12      -3.297705578975e-08      -8.221169310150e-11 
       7.884970667002e-05      -1.495938950299e-02      -1.127991995512e-02      -1.127992479857e-02      -1.495838629142e-02      -1.128682885146e-02       6.000377781948e-01       5.988836772098e-01       2.255984959714e-02       7.214554875562e-06       9.999333028552e-01      -5.240766028043e-09      -3.880879411022e-08      -5.793505896062e-12      -3.963352357457e-08      -9.880649312552e-11 
       8.256577885962e-05      -1.639406827807e-02      -1.236812343322e-02      -1.236812925524e-02      -1.639286281259e-02      -1.237568325883e-02       6.000333298512e-01       5.988801025820e-01       2.473625851049e-02       7.910550222565e-06       9.999268740521e-01      -5.744238012580e-09      -4.664103339767e-08      -6.963220026755e-12      -4.763203069204e-08      -1.187471306143e-10 
       8.645698413597e-05      -1.796543293023e-02      -1.356130211671e-02      -1.356130911497e-02      -1.796398450038e-02      -1.356957252085e-02       6.000284533614e-01       5.988761833884e-01       2.712261822994e-02       8.673683456849e-06       9.999198262262e-01      -6.295850001560e-09      -5.605193730703e-08      -8.368704557521e-12      -5.724264979228e-08      -1.427069325731e-10 
       9.053157626715e-05      -1.968632254577e-02      -1.486958125371e-02      -1.486958966569e-02      -1.968458228582e-02      -1.487862700620e-02       6.000231076218e-01       5.988718866182e-01       2.973917933137e-02       9.510429805101e-06       9.999120998824e-01      -6.900159769987e-09      -6.735905060376e-08      -1.005755998135e-11      -6.878964308069e-08      -1.714943615118e-10 
       9.479819800938e-05      -2.157074504205e-02      -1.630406244424e-02      -1.630407255526e-02      -2.156865428793e-02      -1.631395380216e-02       6.000172476941e-01       5.988671759914e-01       3.260814511052e-02       1.042788878164e-05       9.999036298936e-01      -7.562146630897e-09      -8.094360263550e-08      -1.208676120592e-11      -8.266228644875e-08      -2.060799741675e-10 
       9.926589943941e-05      -2.363397594247e-02      -1.787691772590e-02      -1.787692987870e-02      -2.363146429316e-02      -1.788773081019e-02       6.000108242788e-01       5.988620117085e-01       3.575385975741e-02       1.143384433548e-05       9.998943448367e-01      -8.287249081497e-09      -9.726319839317e-08      -1.452473360651e-11      -9.932783476604e-08      -2.476287657496e-10 
       1.039441571510e-04      -2.589266400282e-02      -1.960149271886e-02      -1.960150732576e-02      -2.588964692054e-02      -1.961330989744e-02       6.000037831698e-01       5.988563500910e-01       3.920301465153e-02       1.253683078503e-05       9.998841665124e-01      -9.081404855772e-09      -1.168670079635e-07      -1.745378528120e-11      -1.193470570858e-07      -2.975388913634e-10 
       1.088428943559e-04      -2.836494352013e-02      -2.149241971318e-02      -2.149243726911e-02      -2.836131960882e-02      -2.150532998301e-02       5.999960654237e-01       5.988501434655e-01       4.298487453821e-02       1.374620507511e-05       9.998730092383e-01      -9.951094949096e-09      -1.404140470972e-07      -2.097249740809e-11      -1.433928352753e-07      -3.574880828883e-10 
       1.139725019325e-04      -3.107055375771e-02      -2.356574160976e-02      -2.356576270931e-02      -3.106620136623e-02      -2.357984097341e-02       5.999876062386e-01       5.988433394070e-01       4.713152541862e-02       1.507222600638e-05       9.998607792019e-01      -1.090338835324e-08      -1.686949456486e-07      -2.519914640049e-11      -1.722724263004e-07      -4.294891300559e-10 
       1.193438604663e-04      -3.403096499574e-02      -2.583904780004e-02      -2.583907315781e-02      -3.402573821461e-02      -2.585443962598e-02       5.999783347391e-01       5.988358806379e-01       5.167814631562e-02       1.652614105926e-05       9.998473736319e-01      -1.194599262865e-08      -2.026580319687e-07      -3.027589982550e-11      -2.069540949203e-07      -5.159563309289e-10 
       1.249683633289e-04      -3.726951115418e-02      -2.833162310731e-02      -2.833165358157e-02      -3.726323500403e-02      -2.834841846186e-02       5.999681732597e-01       5.988277042183e-01       5.666330716315e-02       1.812028156587e-05       9.998326799883e-01      -1.308730729594e-08      -2.434405747443e-07      -3.637292365677e-11      -2.485989635967e-07      -6.197848920656e-10 
       1.308579408449e-04      -4.081152836969e-02      -3.106461104049e-02      -3.106464766177e-02      -4.080399312441e-02      -3.108292897683e-02       5.999570368358e-01       5.988187412814e-01       6.212929532354e-02       1.986816702409e-05       9.998165750703e-01      -1.433647430490e-08      -2.924060697099e-07      -4.369444731608e-11      -2.985990768219e-07      -7.444459169178e-10 
       1.370250855978e-04      -4.468449922430e-02      -3.406119274402e-02      -3.406123675124e-02      -4.467545338185e-02      -3.408116053144e-02       5.999448325201e-01       5.988089167732e-01       6.812247350247e-02       2.178461941297e-05       9.997989240072e-01      -1.570345813375e-08      -3.511886014424e-07      -5.248700534765e-11      -3.586228682956e-07      -8.940997777551e-10 
       1.434828789286e-04      -4.891820062930e-02      -3.734678314069e-02      -3.734683602064e-02      -4.890734296013e-02      -3.736853640533e-02       5.999314586965e-01       5.987981478380e-01       7.469367204127e-02       2.388588847713e-05       9.997795791844e-01      -1.719907011439e-08      -4.217465375089e-07      -6.304252320668e-11      -4.306694356948e-07      -1.073731466979e-09 
       1.502450186827e-04      -5.354485519759e-02      -4.094924586516e-02      -4.094930940233e-02      -5.353182499648e-02      -4.097292861877e-02       5.999168039226e-01       5.987863437631e-01       8.189861880466e-02       2.618978905582e-05       9.997583790305e-01      -1.883507586836e-08      -5.064256170007e-07      -7.571168373624e-11      -5.171332780407e-07      -1.289312157116e-09 
       1.573258482650e-04      -5.859928379358e-02      -4.489912889466e-02      -4.489920523367e-02      -5.858364897157e-02      -4.492489341639e-02       5.999007467041e-01       5.987734062884e-01       8.979841046734e-02       2.871585150419e-05       9.997351467007e-01      -2.062423900186e-08      -6.080340830696e-07      -9.092029796212e-11      -6.208814558981e-07      -1.547991736959e-09 
       1.647403870647e-04      -6.411905583476e-02      -4.922992272618e-02      -4.923001444198e-02      -6.410029919407e-02      -4.925792924708e-02       5.998831540583e-01       5.987592271139e-01       9.846002888397e-02       3.148548659494e-05       9.997096888637e-01      -2.258040170539e-08      -7.299335211511e-07      -1.091751597164e-10      -7.453454893733e-07      -1.858327980854e-09 
