# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.05618e-05 to 220.714 h/Mpc,
# number of wavenumbers equal to 596
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_m                   10:d_tot                 11:phi                   12:psi                   13:h                     14:h_prime               15:eta                   16:eta_prime             17:H_T_Nb_prime          18:k2gamma_Nb            19:t_g                   20:t_b                   21:t_ur                  22:t_ncdm[0]             23:t_ncdm[1]             24:t_ncdm[2]             25:t_tot              
       2.653000139012e-05      -1.003787213538e-04      -7.528603847137e-05      -7.528605528534e-05      -1.003784012992e-04      -8.503125717476e-05      -8.503125717476e-05      -8.503125717476e-05      -7.651808263182e-05      -7.589054710332e-05       6.111898936201e-01       5.977278066131e-01       1.505721105707e-04       2.033820407424e-07       9.999973664456e-01      -1.708028815355e-09       5.531922291095e-09      -2.819719775946e-12      -6.080717026080e-12      -5.356403529381e-15      -6.480504143210e-12      -3.858781921946e-12      -3.858781921946e-12      -3.858781921946e-12      -2.177591435947e-13 
       2.778032183543e-05      -1.100627776478e-04      -8.254948470563e-05      -8.254950491968e-05      -1.100623928607e-04      -9.323470840504e-05      -9.323470840504e-05      -9.323470840504e-05      -8.390038929167e-05      -8.321230813766e-05       6.111896982260e-01       5.977276638241e-01       1.650990098394e-04       2.230039200266e-07       9.999971123679e-01      -1.872811668428e-09       6.065613170350e-09      -3.091755225877e-12      -7.310617835889e-12      -6.439486748617e-15      -7.791262989642e-12      -4.639267905738e-12      -4.639267905738e-12      -4.639267905738e-12      -2.618035802911e-13 
       2.908956806792e-05      -1.206810737224e-04      -9.051369248958e-05      -9.051371679220e-05      -1.206806111084e-04      -1.022295715530e-04      -1.022295715530e-04      -1.022295715530e-04      -9.199492452698e-05      -9.124045539570e-05       6.111894865881e-01       5.977275109537e-01       1.810274335844e-04       2.445188705945e-07       9.999968337760e-01      -2.053492298436e-09       6.650789541309e-09      -3.390035109567e-12      -8.789277496149e-12      -7.741951037357e-15      -9.367135877672e-12      -5.577615547338e-12      -5.577615547338e-12      -5.577615547338e-12      -3.147564850790e-13 
       3.046051717438e-05      -1.323237309859e-04      -9.924626940942e-05      -9.924629862759e-05      -1.323231748035e-04      -1.120921919630e-04      -1.120921919630e-04      -1.120921919630e-04      -1.008704016553e-04      -1.000431388308e-04       6.111892567035e-01       5.977273455571e-01       1.984925972552e-04       2.681095304168e-07       9.999965283069e-01      -2.251604490604e-09       7.292418016165e-09      -3.717091093000e-12      -1.056701150702e-11      -9.307870749751e-15      -1.126174495362e-11      -6.705754272679e-12      -6.705754272679e-12      -6.705754272679e-12      -3.784196806017e-13 
       3.189607712169e-05      -1.450895628384e-04      -1.088213453862e-04      -1.088213805141e-04      -1.450888941627e-04      -1.229062786698e-04      -1.229062786698e-04      -1.229062786698e-04      -1.106021633158e-04      -1.096950829981e-04       6.111890047084e-01       5.977271642875e-01       2.176427610283e-04       2.939761583907e-07       9.999961933674e-01      -2.468829173914e-09       7.995944042329e-09      -4.075699134019e-12      -1.270431013451e-11      -1.119051992540e-14      -1.353955682027e-11      -8.062070782333e-12      -8.062070782333e-12      -8.062070782333e-12      -4.549594075040e-13 
       3.339929292496e-05      -1.590869133273e-04      -1.193202023454e-04      -1.193202445785e-04      -1.590861094058e-04      -1.347636149675e-04      -1.347636149675e-04      -1.347636149675e-04      -1.212728211576e-04      -1.202782217575e-04       6.111887283837e-01       5.977269654853e-01       2.386404891570e-04       3.223383325965e-07       9.999958261141e-01      -2.707010078630e-09       8.767338259904e-09      -4.468902963676e-12      -1.527389810633e-11      -1.345396104432e-14      -1.627807671001e-11      -9.692715796153e-12      -9.692715796153e-12      -9.692715796153e-12      -5.469800440484e-13 
       3.497335310644e-05      -1.744345757506e-04      -1.308319639823e-04      -1.308320147577e-04      -1.744336092286e-04      -1.477648367287e-04      -1.477648367287e-04      -1.477648367287e-04      -1.329729568772e-04      -1.318823935514e-04       6.111884254888e-01       5.977267474274e-01       2.616640295154e-04       3.534368149185e-07       9.999954234306e-01      -2.968168792394e-09       9.613147149374e-09      -4.900039877738e-12      -1.836320893180e-11      -1.617520457531e-14      -1.957048594944e-11      -1.165317452588e-11      -1.165317452588e-11      -1.165317452588e-11      -6.576127182114e-13 
       3.662159645882e-05      -1.912628000416e-04      -1.434543522783e-04      -1.434544133237e-04      -1.912616380331e-04      -1.620202859683e-04      -1.620202859683e-04      -1.620202859683e-04      -1.458018909395e-04      -1.446061039638e-04       6.111880931175e-01       5.977265082992e-01       2.869088266474e-04       3.875355947165e-07       9.999949818962e-01      -3.254521823862e-09       1.054054835597e-08      -5.372769155995e-12      -2.207735989299e-11      -1.944687304401e-14      -2.352881023268e-11      -1.401015320627e-11      -1.401015320627e-11      -1.401015320627e-11      -7.906218230260e-13 
       3.834751912723e-05      -2.097143972395e-04      -1.572945170279e-04      -1.572945904205e-04      -2.097130002062e-04      -1.776509466845e-04      -1.776509466845e-04      -1.776509466845e-04      -1.598685259453e-04      -1.585573618697e-04       6.111877289161e-01       5.977262461563e-01       3.145891808411e-04       4.249241295339e-07       9.999944977652e-01      -3.568500456192e-09       1.155741191383e-08      -5.891102878767e-12      -2.654272837521e-11      -2.338025728132e-14      -2.828773502922e-11      -1.684385124026e-11      -1.684385124026e-11      -1.684385124026e-11      -9.505331328829e-13 
       4.015478202505e-05      -2.299459499998e-04      -1.724699451349e-04      -1.724700333721e-04      -2.299442704078e-04      -1.947894705846e-04      -1.947894705846e-04      -1.947894705846e-04      -1.752922704005e-04      -1.738545959870e-04       6.111873287674e-01       5.977259578942e-01       3.449400667442e-04       4.659198029126e-07       9.999939669272e-01      -3.912767082602e-09       1.267236656626e-08      -6.459440167912e-12      -3.191125180240e-11      -2.810914622360e-14      -3.400918356325e-11      -2.025068683820e-11      -2.025068683820e-11      -2.025068683820e-11      -1.142787730064e-12 
       4.204721859919e-05      -2.521291426541e-04      -1.891094598632e-04      -1.891095659460e-04      -2.521271233640e-04      -2.135813041323e-04      -2.135813041323e-04      -2.135813041323e-04      -1.922040546746e-04      -1.906276620936e-04       6.111868986717e-01       5.977256477045e-01       3.782191318920e-04       5.108706106637e-07       9.999933848762e-01      -4.290251350087e-09       1.389487438558e-08      -7.082603813242e-12      -3.836560884553e-11      -3.379425203318e-14      -4.088782951644e-11      -2.434658145092e-11      -2.434658145092e-11      -2.434658145092e-11      -1.373927453922e-12 
       4.402884296134e-05      -2.764522068343e-04      -2.073543070542e-04      -2.073544345953e-04      -2.764497791210e-04      -2.341859135570e-04      -2.341859135570e-04      -2.341859135570e-04      -2.107474350110e-04      -2.090189379081e-04       6.111864112331e-01       5.977252971435e-01       4.147088691906e-04       5.601581427109e-07       9.999927466744e-01      -4.704138511851e-09       1.523530479990e-08      -7.765884103785e-12      -4.612537247685e-11      -4.062981852713e-14      -4.915771635485e-11      -2.927089606068e-11      -2.927089606068e-11      -2.927089606068e-11      -1.651816114283e-12 
       4.610385840247e-05      -3.031215340151e-04      -2.273593670729e-04      -2.273595204111e-04      -3.031186152861e-04      -2.567781513859e-04      -2.567781513859e-04      -2.567781513859e-04      -2.310798243580e-04      -2.291845446717e-04       6.111858843140e-01       5.977249180306e-01       4.547190408223e-04       6.142007715240e-07       9.999920468994e-01      -5.157959814540e-09       1.670503409906e-08      -8.515078065001e-12      -5.545460275924e-11      -4.884779512694e-14      -5.910022050996e-11      -3.519118218324e-11      -3.519118218324e-11      -3.519118218324e-11      -1.985909562131e-12 
       4.827666630853e-05      -3.323634121125e-04      -2.492944601271e-04      -2.492946444803e-04      -3.323599030603e-04      -2.815497280979e-04      -2.815497280979e-04      -2.815497280979e-04      -2.533738208066e-04      -2.512956628670e-04       6.111853163714e-01       5.977245111154e-01       4.985892889607e-04       6.734572390901e-07       9.999912796169e-01      -5.655560674901e-09       1.831653155727e-08      -9.336543756851e-12      -6.667071637497e-11      -5.872852039619e-14      -7.105363124032e-11      -4.230888078018e-11      -4.230888078018e-11      -4.230888078018e-11      -2.387575277229e-12 
