# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.05075e-05 to 219.579 h/Mpc,
# number of wavenumbers equal to 596
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       2.639362926886e-05      -9.990717785587e-05      -7.493235594703e-05      -7.493237245814e-05      -9.990686293055e-05      -7.494242751973e-05      -7.563810350151e-05       6.120841303075e-01       5.968754305957e-01       1.498647449163e-04       2.023603637969e-07       9.999973303318e-01      -1.815386782230e-09       6.202447362982e-09      -3.143109868253e-12      -5.994384642634e-12      -5.256346938538e-15      -6.386990614998e-12      -2.305672768428e-13 
       2.763752269409e-05      -1.095457425096e-04      -8.216167841441e-05      -8.216169826437e-05      -1.095453638891e-04      -8.217272248992e-05      -8.293550824764e-05       6.120839214597e-01       5.968752858227e-01       1.643233965287e-04       2.218836759852e-07       9.999970727710e-01      -1.990526528179e-09       6.800825285406e-09      -3.446344159354e-12      -7.206823731264e-12      -6.319143362104e-15      -7.678835398972e-12      -2.772022723419e-13 
       2.894003901039e-05      -1.201141603578e-04      -9.008847147335e-05      -9.008849533824e-05      -1.201137051574e-04      -9.010058282624e-05      -9.093695064873e-05       6.120837053914e-01       5.968751416742e-01       1.801769906765e-04       2.432905446757e-07       9.999967903593e-01      -2.182564169236e-09       7.456928744855e-09      -3.778832811941e-12      -8.664489863098e-12      -7.597278538465e-15      -9.231968846904e-12      -3.332697016578e-13 
       3.030394102949e-05      -1.317021277034e-04      -9.878002367480e-05      -9.878005236672e-05      -1.317015804342e-04      -9.879330563635e-05      -9.971035253428e-05       6.120834684005e-01       5.968749835828e-01       1.975601047334e-04       2.667626957422e-07       9.999964807015e-01      -2.393128266364e-09       8.176326230709e-09      -4.143397672972e-12      -1.041698426643e-11      -9.133937752459e-15      -1.109923903873e-11      -4.006773458135e-13 
       3.173212177043e-05      -1.444079942282e-04      -1.083101169034e-04      -1.083101513987e-04      -1.444073362685e-04      -1.083246828477e-04      -1.093301901229e-04       6.120832086841e-01       5.968748103541e-01       2.166203027974e-04       2.924993810515e-07       9.999961411695e-01      -2.624006059616e-09       8.965123109634e-09      -4.543133046743e-12      -1.252393838770e-11      -1.098141270682e-14      -1.334418260014e-11      -4.817188552822e-13 
       3.322761059604e-05      -1.583395952286e-04      -1.187596512236e-04      -1.187596926960e-04      -1.583388041906e-04      -1.187756255391e-04      -1.198781247317e-04       6.120829237521e-01       5.968746202903e-01       2.375193853921e-04       3.207190754399e-07       9.999957688802e-01      -2.877157107765e-09       9.830013521001e-09      -4.981431713201e-12      -1.505704444850e-11      -1.320256233649e-14      -1.604318614346e-11      -5.791517724430e-13 
       3.479357963863e-05      -1.736151662031e-04      -1.302173316230e-04      -1.302173814838e-04      -1.736142151708e-04      -1.302348507932e-04      -1.314436959621e-04       6.120826112903e-01       5.968744117487e-01       2.604347629677e-04       3.516613311066e-07       9.999953606740e-01      -3.154730022181e-09       1.077833721859e-08      -5.462013669111e-12      -1.810249463839e-11      -1.587295737748e-14      -1.928808623851e-11      -6.962913688293e-13 
       3.643335052850e-05      -1.903643454962e-04      -1.427804209607e-04      -1.427804809066e-04      -1.903632021094e-04      -1.427996347757e-04      -1.441250817089e-04       6.120822688750e-01       5.968741831046e-01       2.855609618132e-04       3.855888110663e-07       9.999949130868e-01      -3.459080683110e-09       1.181814174571e-08      -5.988957714512e-12      -2.176391379487e-11      -1.908347472238e-14      -2.318929380787e-11      -8.371234452739e-13 
       3.815040143953e-05      -2.087292735339e-04      -1.565555655541e-04      -1.565556376250e-04      -2.087278988890e-04      -1.565766384212e-04      -1.580299314857e-04       6.120818932017e-01       5.968739323696e-01       3.131112752500e-04       4.227895187402e-07       9.999944223175e-01      -3.792791746205e-09       1.295825051082e-08      -6.566736126328e-12      -2.616588528766e-11      -2.294337680297e-14      -2.787954885172e-11      -1.006439917308e-12 
       3.994837446694e-05      -2.288657985015e-04      -1.716597008317e-04      -1.716597874798e-04      -2.288641458249e-04      -1.716828131752e-04      -1.732762805621e-04       6.120814822508e-01       5.968736582164e-01       3.433195749595e-04       4.635792410045e-07       9.999938842018e-01      -4.158696175183e-09       1.420833796206e-08      -7.200252384048e-12      -3.145818888287e-11      -2.758398236721e-14      -3.351843980871e-11      -1.210001873009e-12 
       4.183108335256e-05      -2.509447951811e-04      -1.882210421460e-04      -1.882211463184e-04      -2.509428082487e-04      -1.882463915341e-04      -1.899935500546e-04       6.120810306924e-01       5.968733545534e-01       3.764422926368e-04       5.083042354207e-07       9.999932941706e-01      -4.559898132640e-09       1.557901197511e-08      -7.894882372645e-12      -3.782090806832e-11      -3.316256493040e-14      -4.029782931652e-11      -1.454735687292e-12 
       4.380252157436e-05      -2.751536218610e-04      -2.063801794377e-04      -2.063803046817e-04      -2.751512330547e-04      -2.064079842800e-04      -2.083236518407e-04       6.120805411815e-01       5.968730316205e-01       4.127606093635e-04       5.573441445685e-07       9.999926472144e-01      -4.999805478887e-09       1.708189982366e-08      -8.656522879178e-12      -4.547050684511e-11      -3.987089845845e-14      -4.844838412407e-11      -1.748968087574e-12 
       4.586687081713e-05      -3.016976886905e-04      -2.262912559895e-04      -2.262914065660e-04      -3.016948167377e-04      -2.263217544836e-04      -2.284221783258e-04       6.120799965255e-01       5.968726676403e-01       4.525828131321e-04       6.111152750896e-07       9.999919378454e-01      -5.482149590966e-09       1.872975464889e-08      -9.491635461206e-12      -5.466728734535e-11      -4.793524867331e-14      -5.824742350985e-11      -2.102710520086e-12 
       4.802850984238e-05      -3.308022265496e-04      -2.481232979342e-04      -2.481234789670e-04      -3.307987737343e-04      -2.481567525556e-04      -2.504597443894e-04       6.120794088747e-01       5.968722769569e-01       4.962469579340e-04       6.700740489418e-07       9.999911600416e-01      -6.011021311190e-09       2.053655673333e-08      -1.040730729489e-11      -6.572416379522e-11      -5.763130436503e-14      -7.002835303538e-11      -2.527999026387e-12 
       5.029202377630e-05      -3.627141608705e-04      -2.720616231450e-04      -2.720618407943e-04      -3.627100097115e-04      -2.720983212257e-04      -2.746234094275e-04       6.120787466337e-01       5.968718327497e-01       5.441236815885e-04       7.347209775599e-07       9.999903072009e-01      -6.590907039771e-09       2.251763155973e-08      -1.141130884375e-11      -7.901732117894e-11      -6.928746235698e-14      -8.419199718379e-11      -3.039302930477e-12 
       5.266221383541e-05      -3.977042463358e-04      -2.983094464845e-04      -2.983097081559e-04      -3.976992556011e-04      -2.983497044313e-04      -3.011182975833e-04       6.120780318338e-01       5.968713559959e-01       5.966194163119e-04       8.056047843996e-07       9.999893720820e-01      -7.226735118186e-09       2.468978624882e-08      -1.251215905501e-11      -9.499906241481e-11      -8.330164772630e-14      -1.012202528196e-10      -3.654019295819e-12 
       5.514410751062e-05      -4.360693190107e-04      -3.270895739403e-04      -3.270898885408e-04      -4.360633189010e-04      -3.271337397205e-04      -3.301693076802e-04       6.120772496577e-01       5.968708342536e-01       6.541797770816e-04       8.833271811996e-07       9.999883467483e-01      -7.923894643558e-09       2.707144510981e-08      -1.371919842791e-11      -1.142131364899e-10      -1.001517330471e-13      -1.216924664486e-10      -4.393062736600e-12 
       5.774296923116e-05      -4.781348288899e-04      -3.586463081588e-04      -3.586466863875e-04      -4.781276152731e-04      -3.586947623208e-04      -3.620230364910e-04       6.120763871723e-01       5.968702582927e-01       7.172933727750e-04       9.685479186684e-07       9.999872225011e-01      -8.688302839253e-09       2.968280696277e-08      -1.504266861594e-11      -1.373132575221e-10      -1.204071366835e-13      -1.463051498133e-10      -5.281576779319e-12 
       6.046431153117e-05      -5.242575993951e-04      -3.932475253144e-04      -3.932479800544e-04      -5.242489268304e-04      -3.933006891790e-04      -3.969498749650e-04       6.120754465631e-01       5.968696317877e-01       7.864959601088e-04       1.061990372443e-06       9.999859897904e-01      -9.526450697693e-09       3.254601904765e-08      -1.649379802979e-11      -1.650853345952e-10      -1.447645408615e-13      -1.758956625976e-10      -6.349791319355e-12 
       6.331390674254e-05      -5.748288267161e-04      -4.311869335710e-04      -4.311874802801e-04      -5.748184001764e-04      -4.312452657744e-04      -4.352462876100e-04       6.120744072364e-01       5.968689362955e-01       8.623749605602e-04       1.164447740994e-06       9.999846381689e-01      -1.044542515779e-08       3.568536141114e-08      -1.808489669694e-11      -1.984742630834e-10      -1.740412244119e-13      -2.114707161702e-10      -7.634047903042e-12 
       6.629779923874e-05      -6.302774220885e-04      -4.727865901421e-04      -4.727872474309e-04      -6.302648868362e-04      -4.728505987466e-04      -4.772373530020e-04       6.120732738521e-01       5.968681800270e-01       9.455744948618e-04       1.276789682141e-06       9.999831561562e-01      -1.145304468582e-08       3.912745277875e-08      -1.982946299903e-11      -2.386159399375e-10      -2.092431914519e-13      -2.542405825317e-10      -9.178038706322e-12 
       6.942231825583e-05      -6.910736025585e-04      -5.183996073012e-04      -5.184003975334e-04      -6.910585321830e-04      -5.184698496336e-04      -5.232794947949e-04       6.120720292997e-01       5.968673487522e-01       1.036800795067e-03       1.399969799188e-06       9.999815311636e-01      -1.255785595574e-08       4.290147576666e-08      -2.174229474812e-11      -2.868760494058e-10      -2.515645904376e-13      -3.056602497751e-10      -1.103429053826e-11 
       7.269409131756e-05      -7.577328985639e-04      -5.684131731808e-04      -5.684141232508e-04      -7.577147803615e-04      -5.684902632961e-04      -5.737635305173e-04       6.120706694102e-01       5.968664424186e-01       1.136828246502e-03       1.535033639684e-06       9.999797494149e-01      -1.376922835378e-08       4.703942270477e-08      -2.383961723044e-11      -3.448963464970e-10      -3.024491039407e-13      -3.674789790470e-10      -1.326595192903e-11 
       7.612005829323e-05      -8.308204770184e-04      -6.232518126871e-04      -6.232529549079e-04      -8.307986947327e-04      -6.233364232217e-04      -6.291179625626e-04       6.120691758851e-01       5.968654432018e-01       1.246505909816e-03       1.683127664353e-06       9.999777957894e-01      -1.509742397063e-08       5.157637073470e-08      -2.613921503095e-11      -4.146507810957e-10      -3.636161102039e-13      -4.417997037140e-10      -1.594894226937e-11 
       7.970748611814e-05      -9.109559471676e-04      -6.833810135045e-04      -6.833823867677e-04      -9.109297596621e-04      -6.834738896853e-04      -6.898126377079e-04       6.120675308127e-01       5.968643456606e-01       1.366764773535e-03       1.845508884055e-06       9.999756537021e-01      -1.655372277383e-08       5.655075757146e-08      -2.866059678889e-11      -4.985118946614e-10      -4.371662942802e-13      -5.311505632142e-10      -1.917452489767e-11 
       8.346398420768e-05      -9.988185799447e-04      -7.493111679533e-04      -7.493128189859e-04      -9.987870964905e-04      -7.494131270127e-04      -7.563627251107e-04       6.120657303412e-01       5.968631432100e-01       1.498625637972e-03       2.023555557963e-06       9.999733049730e-01      -1.815046659429e-08       6.200474298449e-08      -3.142513707271e-11      -5.993327444315e-10      -5.255891789775e-13      -6.385708914241e-10      -2.305242861172e-11 
       8.739752059793e-05      -1.095153045425e-03      -8.216019073283e-04      -8.216038923016e-04      -1.095115195079e-03      -8.217138503788e-04      -8.293330905186e-04       6.120637621572e-01       5.968618306504e-01       1.643207784603e-03       2.218778873667e-06       9.999707296858e-01      -1.990118707038e-08       6.798452935955e-08      -3.445627786026e-11      -7.205427486933e-10      -6.318971770783e-13      -7.677145791417e-10      -2.771456074262e-11 
       9.151643884696e-05      -1.200775661553e-03      -9.008668271641e-04      -9.008692136231e-04      -1.200730156938e-03      -9.009897466255e-04      -9.093430647783e-04       6.120615998795e-01       5.968603872048e-01       1.801738427246e-03       2.432835859611e-06       9.999679059693e-01      -2.182073935391e-08       7.454076542412e-08      -3.777971569404e-11      -8.662649146522e-10      -7.597038550816e-13      -9.229741542467e-10      -3.331949987710e-11 
       9.582947573261e-05      -1.316581324936e-03      -9.877787313687e-04      -9.877816005180e-04      -1.316526618363e-03      -9.879137221171e-04      -9.970717358356e-04       6.120592305413e-01       5.968588057633e-01       1.975563201036e-03       2.667543295447e-06       9.999648098714e-01      -2.392538795256e-08       8.172897204925e-08      -4.142362237797e-11      -1.041455786430e-09      -9.133616562420e-13      -1.109630286213e-09      -4.005788702135e-11 
       1.003457797844e-04      -1.443551011820e-03      -1.083075313880e-03      -1.083078763294e-03      -1.443485243210e-03      -1.083223579623e-03      -1.093263682054e-03       6.120566364223e-01       5.968570716100e-01       2.166157526588e-03       2.924893228156e-06       9.999614151055e-01      -2.623298606614e-08       8.961001557818e-08      -4.541887624395e-11      -1.252074624842e-09      -1.098069304084e-12      -1.334031115271e-09      -4.815891249167e-11 
       1.050749306886e-04      -1.582760047668e-03      -1.187565425526e-03      -1.187569572703e-03      -1.582680979345e-03      -1.187728306667e-03      -1.198735296203e-03       6.120537824506e-01       5.968551691684e-01       2.375139145405e-03       3.207069836941e-06       9.999576929099e-01      -2.876306540258e-08       9.825057178659e-08      -4.979935132454e-11      -1.505282821528e-09      -1.320198338000e-12      -1.603808276602e-09      -5.789806329676e-11 
       1.100269596085e-04      -1.735387153333e-03      -1.302135942869e-03      -1.302140928853e-03      -1.735292096868e-03      -1.302314907007e-03      -1.314381715798e-03       6.120506594476e-01       5.968530845443e-01       2.604281857705e-03       3.516467934415e-06       9.999536116835e-01      -3.153707137205e-08       1.077237857677e-07      -5.460214392110e-11      -1.809693683180e-09      -1.587217278783e-12      -1.928135903292e-09      -6.960657712510e-11 
       1.152123704613e-04      -1.902724337154e-03      -1.427759279611e-03      -1.427765274054e-03      -1.902610060190e-03      -1.427955952173e-03      -1.441184402717e-03       6.120472348838e-01       5.968507992401e-01       2.855530548107e-03       3.855713322021e-06       9.999491367975e-01      -3.457850321001e-08       1.181097782984e-07      -5.986794707277e-11      -2.175658675194e-09      -1.908233745486e-12      -2.318042511533e-09      -8.368260169640e-11 
       1.206421621987e-04      -2.086187739343e-03      -1.565501637886e-03      -1.565508844748e-03      -2.086050356320e-03      -1.565717817973e-03      -1.580219468109e-03       6.120434803708e-01       5.968482927358e-01       3.131017689497e-03       4.227685048887e-06       9.999442303008e-01      -3.791312888842e-08       1.294963801882e-07      -6.564135566565e-11      -2.615622810297e-09      -2.294186610893e-12      -2.786785776979e-09      -1.006047869115e-10 
       1.263278521368e-04      -2.287329520524e-03      -1.716532063087e-03      -1.716540727616e-03      -2.287164360316e-03      -1.716769740424e-03      -1.732666808072e-03       6.120393634478e-01       5.968455443513e-01       3.433081455231e-03       4.635539779873e-06       9.999388505804e-01      -4.156919484492e-08       1.419798382817e-07      -7.197125853164e-11      -3.144545898783e-09      -2.758197623421e-12      -3.350302791716e-09      -1.209485066602e-10 
       1.322815003864e-04      -2.507850846503e-03      -1.882132350791e-03      -1.882142767771e-03      -2.507652294400e-03      -1.882393727677e-03      -1.899820098295e-03       6.120348522434e-01       5.968425322768e-01       3.764285535543e-03       5.082738591519e-06       9.999329520121e-01      -4.557761377581e-08       1.556656378140e-07      -7.891123779852e-11      -3.780412274692e-09      -3.316038410275e-12      -4.027751425298e-09      -1.454054411614e-10 
       1.385157354336e-04      -2.749616099446e-03      -2.063707904087e-03      -2.063720428121e-03      -2.749377404835e-03      -2.063995427774e-03      -2.083097747416e-03       6.120298995650e-01       5.968392269240e-01       4.127440856241e-03       5.573076362619e-06       9.999264845506e-01      -4.997234585240e-08       1.706693426296e-07      -8.652003959566e-11      -4.544837976701e-09      -3.986770115458e-12      -4.842160472783e-09      -1.748069965177e-10 
       1.450437809268e-04      -3.014668493254e-03      -2.262799691709e-03      -2.262814748811e-03      -3.014381543556e-03      -2.263116067722e-03      -2.284054959192e-03       6.120244745354e-01       5.968356054348e-01       4.525629497623e-03       6.110713786540e-06       9.999193933590e-01      -5.479057152441e-08       1.871176325380e-07      -9.486202557771e-11      -5.463812429277e-09      -4.793093576357e-12      -5.821212254739e-09      -2.101526702021e-10 
       1.518794837257e-04      -3.305247048404e-03      -2.481097264048e-03      -2.481115366624e-03      -3.304902090902e-03      -2.481445503589e-03      -2.504396862537e-03       6.120185250803e-01       5.968316345427e-01       4.962230733249e-03       6.700212822369e-06       9.999116182812e-01      -6.007303715393e-08       2.051492628932e-07      -1.040077612991e-10      -6.568571557472e-09      -5.762532163658e-12      -6.998181316828e-09      -2.526438257721e-10 
